CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Precip,Pressure,RH,Site,Temp,Wind
"Knoxville, TN",NA,NA,NA,NA,9.26648044693,36.7988826816,24.4335483871,22.4696774194,0.180557122924,1.98006644518,0.895842555957,1.64620938628,0.032138112801,44.4683143219,0.885127202658,2.44518272425,28940,Metropolitan Statistical Area,698030.0,1856.8,375.9,1343.3,321207.0,0.855646155936,31985.0,0.085203131618,20282.0,0.0540281355472,1923.0,0.00512257689859,375397.0,NA,NA,NA,NA,NA,NA
"Lake City, FL",NA,NA,NA,NA,10.5464255673,42.0891364903,NA,NA,NA,NA,NA,NA,0.025974339779,34.2790055249,NA,NA,29380,Micropolitan Statistical Area,67531.0,797.6,84.7,289.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Havasu City-Kingman, AZ",NA,NA,NA,NA,2.86666666667,11.9824561404,17.1967213115,15.8852459016,NA,NA,NA,NA,NA,NA,NA,NA,29420,Metropolitan Statistical Area,200186.0,13311.1,15.0,1143.6,43499.0,0.777114783385,7363.0,0.131540866458,4930.0,0.0880750334971,183.0,0.00326931665922,55975.0,NA,NA,NA,NA,NA,NA
"Laredo, TX",NA,NA,NA,NA,10.3519938944,40.5889570552,21.9544468547,20.3123644252,0.39849611236,6.46441947566,NA,NA,0.0219591239669,27.2286501377,NA,NA,29700,Metropolitan Statistical Area,250304.0,3361.5,74.5,5300.1,73732.0,0.790445866701,12691.0,0.136054202982,5685.0,0.060946193677,1171.0,0.0125537366395,93279.0,NA,NA,NA,NA,NA,NA
"Lawrenceburg, TN",NA,NA,NA,NA,10.6844827586,42.6724137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29980,Micropolitan Statistical Area,41869.0,617.1,67.8,121.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lawton, OK",NA,NA,NA,NA,9.45300173418,36.6102449889,NA,NA,NA,NA,NA,NA,0.0306918948127,35.4265129683,NA,NA,30020,Metropolitan Statistical Area,124098.0,1069.3,116.1,1830.3,46043.0,0.742102378957,7241.0,0.116707497905,8323.0,0.134146734575,437.0,0.00704338856296,62044.0,NA,NA,NA,NA,NA,NA
"Lewiston, ID-WA",NA,NA,NA,NA,6.04429715647,24.4902234637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30300,Metropolitan Statistical Area,60888.0,1484.3,41.0,1443.6,22126.0,0.816216615021,2303.0,0.0849564704146,2514.0,0.0927401505091,165.0,0.00608676405489,27108.0,NA,NA,NA,NA,NA,NA
"Longview, WA",NA,NA,NA,NA,4.53830873901,18.7884615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31020,Metropolitan Statistical Area,102410.0,1140.1,89.8,2005.7,30061.0,0.823160546565,3821.0,0.104630466333,2482.0,0.0679646211561,155.0,0.00424436594649,36519.0,NA,NA,NA,NA,NA,NA
"Los Alamos, NM",NA,NA,NA,NA,2.52053571429,10.5446428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31060,Micropolitan Statistical Area,17950.0,109.2,164.4,180.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, MN",NA,NA,NA,NA,11.0712961239,42.7264957265,NA,NA,NA,NA,NA,NA,0.0323971948718,37.5743589744,NA,NA,32140,Micropolitan Statistical Area,25857.0,714.6,36.2,568.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow, ID",NA,NA,NA,NA,3.28188647602,13.476534296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34140,Micropolitan Statistical Area,37244.0,1076.0,34.6,220.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moses Lake, WA",NA,NA,NA,NA,5.71523343923,23.2105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34180,Micropolitan Statistical Area,89120.0,2679.5,33.3,591.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Vernon-Anacortes, WA",NA,NA,NA,NA,4.64111228493,19.2849315068,NA,NA,NA,NA,6.28955039006,10.2887189293,0.0189671448276,22.1068965517,NA,NA,34580,Metropolitan Statistical Area,116901.0,1731.2,67.5,1286.5,41631.0,0.819411093178,4528.0,0.0891233318899,4233.0,0.0833169310711,414.0,0.00814864386096,50806.0,NA,NA,NA,NA,NA,NA
"Napa, CA",NA,NA,NA,NA,8.75927577473,35.0771349862,16.6721311475,15.4262295082,0.369126934247,5.32876712329,8.50732212329,15.9369863014,0.023136369863,30.1232876712,NA,NA,34900,Metropolitan Statistical Area,136484.0,748.4,182.4,4045.9,53927.0,0.767939279154,8379.0,0.119319880951,7384.0,0.10515073409,533.0,0.00759010580579,70223.0,NA,NA,NA,NA,NA,NA
"Naples-Marco Island, FL",NA,NA,NA,NA,8.98441608434,36.524691358,NA,NA,NA,NA,NA,NA,0.0259817808219,29.9506849315,NA,NA,34940,Metropolitan Statistical Area,321520.0,1998.3,160.9,2103.3,102472.0,0.751928029997,16689.0,0.122462008086,14599.0,0.107125822761,2519.0,0.0184841391557,136279.0,NA,NA,NA,NA,NA,NA
"Nashville-Davidson-Murfreesboro-Franklin, TN",NA,NA,NA,NA,12.2044960545,47.2122641509,21.4696132597,19.8839779006,0.433047926027,6.33150684932,12.5404492658,24.0739726027,0.0313531695906,43.6415204678,2.24004483562,5.18356164384,34980,Metropolitan Statistical Area,1589934.0,5688.7,279.5,1695.3,670060.0,0.823795982449,81587.0,0.100306006656,53116.0,0.0653027302088,8618.0,0.0105952806864,813381.0,NA,NA,NA,NA,NA,NA
