,CBSA Name,Mode,Total
320,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
321,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
322,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
323,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
324,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
325,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
326,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
327,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
328,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
329,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
330,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
331,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
332,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
333,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
334,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
335,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
336,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
337,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
338,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
339,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
340,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
341,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
342,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
343,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
344,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
345,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
346,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
347,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
348,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
349,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
350,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
351,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
352,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
353,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
354,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
355,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
356,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
357,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
358,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
359,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
360,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
361,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
362,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
363,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
364,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
365,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
366,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
367,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
368,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
369,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
370,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
371,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
372,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
373,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
374,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
375,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
376,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
377,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
378,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
379,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
380,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
381,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
382,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
383,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
384,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
385,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
386,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
387,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
388,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
389,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
390,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
391,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
392,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
393,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
394,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
395,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
396,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
397,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
398,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
399,"Albany-Schenectady-Troy, NY",Drive Alone,435150.0
400,"Albuquerque, NM",Carpool,390160.0
401,"Albuquerque, NM",Carpool,390160.0
402,"Albuquerque, NM",Carpool,390160.0
403,"Albuquerque, NM",Carpool,390160.0
404,"Albuquerque, NM",Carpool,390160.0
405,"Albuquerque, NM",Carpool,390160.0
406,"Albuquerque, NM",Carpool,390160.0
407,"Albuquerque, NM",Carpool,390160.0
408,"Albuquerque, NM",Carpool,390160.0
409,"Albuquerque, NM",Carpool,390160.0
410,"Albuquerque, NM",Other,390160.0
411,"Albuquerque, NM",Other,390160.0
412,"Albuquerque, NM",Other,390160.0
413,"Albuquerque, NM",Other,390160.0
414,"Albuquerque, NM",Other,390160.0
415,"Albuquerque, NM",Other,390160.0
416,"Albuquerque, NM",Other,390160.0
417,"Albuquerque, NM",Other,390160.0
418,"Albuquerque, NM",Other,390160.0
