CBSA Name,season,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010
"Mount Vernon, IL",Fall,38.082155,-88.624943,9.648,39.04,NA,NA,NA,NA,NA,NA,NA,NA,3.37797521519,NA,NA,NA,NA,0.02736515,35.425,NA,NA,34500,Micropolitan Statistical Area,47284.0,1005.8,47.0,397.2
"Mount Vernon, IL",Summer,38.082155,-88.624943,12.0952380952,44.5238095238,NA,NA,NA,NA,NA,NA,NA,NA,2.2697463913,NA,NA,NA,NA,0.0266584891304,34.6304347826,NA,NA,34500,Micropolitan Statistical Area,47284.0,1005.8,47.0,397.2
"Mount Vernon, IL",Winter,38.082155,-88.624943,6.4,26.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,4.92105882051,NA,NA,NA,NA,NA,NA,NA,NA,34500,Micropolitan Statistical Area,47284.0,1005.8,47.0,397.2
"Mount Vernon-Anacortes, WA",Fall,48.52059,-122.61428,6.51662119205,26.6621621622,4.37547988202,18.2386363636,NA,NA,49.3288839162,1014.85367638,69.946879314,NA,NA,NA,NA,5.5941926988,11.1325301205,0.0201188461538,22.6025641026,0.515949369048,1.29761904762,34580,Metropolitan Statistical Area,116901.0,1731.2,67.5,1286.5
"Mount Vernon-Anacortes, WA",Spring,48.52059,-122.61428,5.19656137363,21.5111111111,3.2175975914,13.3333333333,NA,NA,52.4327182185,1016.10112519,69.7005334211,NA,NA,NA,NA,4.45309439785,8.82795698925,0.0283030283688,30.3120567376,0.732607804348,1.33695652174,34580,Metropolitan Statistical Area,116901.0,1731.2,67.5,1286.5
"Mount Vernon-Anacortes, WA",Summer,48.52059,-122.61428,6.67123771978,27.6111111111,4.86988896196,20.1956521739,NA,NA,53.0421195598,1016.72373188,70.6070415924,NA,NA,NA,NA,5.1936111413,9.38043478261,0.0177182663043,22.2880434783,0.630572777778,1.46666666667,34580,Metropolitan Statistical Area,116901.0,1731.2,67.5,1286.5
"Mount Vernon-Anacortes, WA",Winter,48.52059,-122.61428,5.49553267222,22.7666666667,3.74623383929,15.5,NA,NA,41.1600594034,1019.31259259,73.3709901716,NA,NA,NA,NA,6.31811111111,11.7777777778,0.0218979555556,23.7222222222,0.725823690476,1.38095238095,34580,Metropolitan Statistical Area,116901.0,1731.2,67.5,1286.5
"Muncie, IN",Fall,40.201141,-85.387999,8.54,34.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0191774444444,30.5555555556,NA,NA,34620,Metropolitan Statistical Area,117671.0,392.1,300.1,2377.0
"Muncie, IN",Spring,40.201141,-85.387999,8.71724137931,35.4137931034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0322163855422,36.0120481928,NA,NA,34620,Metropolitan Statistical Area,117671.0,392.1,300.1,2377.0
"Muncie, IN",Summer,40.201141,-85.387999,11.5387096774,44.064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024885423913,31.0543478261,NA,NA,34620,Metropolitan Statistical Area,117671.0,392.1,300.1,2377.0
"Muncie, IN",Winter,40.201141,-85.387999,12.2928571429,44.7857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34620,Metropolitan Statistical Area,117671.0,392.1,300.1,2377.0
"Muscatine, IA",Fall,41.4068453854,-91.0666321406,10.1026041667,38.421875,9.25564381447,35.4838709677,21.1935483871,19.5806451613,42.5826599222,998.211111111,73.5531084556,NA,2.78289243704,NA,NA,NA,NA,NA,NA,2.91287598519,18.7222222222,34700,Micropolitan Statistical Area,54132.0,839.2,64.5,1031.1
"Muscatine, IA",Spring,41.4069459378,-91.066545399,10.8098445596,40.9481865285,11.2852278523,42.1494252874,21.8387096774,20.2580645161,58.1953811828,992.526502978,63.6611622903,NA,3.63053184229,NA,NA,NA,NA,NA,NA,4.67397883513,25.5698924731,34700,Micropolitan Statistical Area,54132.0,839.2,64.5,1031.1
"Muscatine, IA",Summer,41.4075906158,-91.0664348475,9.62316384181,37.6384180791,8.5014209478,33.6722222222,21.2333333333,19.7,70.358289837,994.469805506,75.7208534457,NA,2.05053339855,NA,NA,NA,NA,NA,NA,4.02395648551,23.4492753623,34700,Micropolitan Statistical Area,54132.0,839.2,64.5,1031.1
"Muscatine, IA",Winter,41.4067633333,-91.0664662787,11.787431694,43.9672131148,10.6566636422,39.5828220859,16.2413793103,15.0344827586,20.9412848315,996.779679922,70.7496376889,NA,4.06158281852,NA,NA,NA,NA,NA,NA,1.48638192222,8.9037037037,34700,Micropolitan Statistical Area,54132.0,839.2,64.5,1031.1
"Napa, CA",Fall,38.310942,-122.296189,11.6470051034,45.9302325581,NA,NA,14.1379310345,13.0689655172,NA,NA,NA,NA,NA,0.434166711111,6.95555555556,9.93459568889,19.0444444444,0.0163353444444,25.8777777778,NA,NA,34900,Metropolitan Statistical Area,136484.0,748.4,182.4,4045.9
"Napa, CA",Spring,38.310942,-122.296189,12.4170698763,49.0215053763,NA,NA,15.3,14.1666666667,NA,NA,NA,NA,NA,0.314450978495,3.78494623656,5.06321943478,11.0543478261,0.027097516129,33.1720430108,NA,NA,34900,Metropolitan Statistical Area,136484.0,748.4,182.4,4045.9
"Napa, CA",Summer,38.310942,-122.296189,9.59565735519,38.5824175824,NA,NA,14.03125,12.96875,NA,NA,NA,NA,NA,0.330215923913,4.05434782609,3.99328018478,7.02173913043,0.0218319673913,26.7282608696,NA,NA,34900,Metropolitan Statistical Area,136484.0,748.4,182.4,4045.9
"Napa, CA",Winter,38.310942,-122.296189,14.2380570286,52.8045977011,NA,NA,16.6666666667,15.3333333333,NA,NA,NA,NA,NA,0.506153866667,8.54444444444,12.0196586667,22.3777777778,0.0159388111111,23.7111111111,NA,NA,34900,Metropolitan Statistical Area,136484.0,748.4,182.4,4045.9
