CO,NO2,OZONE,PM10,PM25,SO2,city,id,population,popdense,area,other_frac,car_frac,pt_frac,Car,PT,Other,latitude,longitude,Precip,Pressure,RH,Site,Temp,Wind
NA,12.3932624113,0.0250103333333,21.5226666667,18.4425,1.71450381679,Chambery,FR31007,217356.0,NA,NA,0.3,0.64,0.06,139107.84,13041.36,65206.8,45.353889,3.77740733333,800.2,NA,NA,074710-99999-2010,45.6672305593,5.11592384777
0.289956331878,18.9046099291,0.0251276666667,23.7,13.966,1.17175572519,Montpellier,FR08017,569956.0,976.781031562,583.50436954,0.28,0.64,0.08,364771.84,45596.48,159587.68,43.6031102857,3.88180157143,695.0,1013.57691498,NA,076430-99999-2010,57.1976201225,8.34399013824
NA,11.4925531915,0.0271285,23.597,NA,NA,Niort,FR09302,152721.0,348.12425113,438.69681444,NA,NA,NA,NA,NA,NA,46.264835,-0.440301,717.8,1014.72388259,NA,073300-99999-2010,52.6535050033,7.14188928466
0.226200873362,14.7102393617,0.0260196666667,25.3025,18.088,0.169083969466,Bordeaux,FR31001,1158431.0,800.769656413,1446.6469736,0.24,0.67,0.09,776148.77,104258.79,278023.44,44.853565,-0.544677166667,733.6,1015.0586654,NA,075100-99999-2010,55.2073863636,6.57206904444
NA,9.22234042553,0.028687,22.6425,NA,NA,Ajaccio,FR41007,100643.0,263.886332544,381.38769458,NA,NA,NA,NA,NA,NA,41.9305218,8.7708974,884.7,1012.65933831,NA,077610-99999-2010,59.3001655499,6.41214371832
NA,NA,0.029081,NA,NA,NA,Montauban,FR12046,105654.0,343.858653146,307.2599716,NA,NA,NA,NA,NA,NA,44.030558,1.416667,628.7,1014.84345781,NA,075400-99999-2010,54.536044622,4.36008050461
0.324017467249,17.0146276596,0.019936,23.961,19.698,0.983969465649,Chalon-sur-Saone,FR32001,133557.0,339.661414072,393.2062768,NA,NA,NA,NA,NA,NA,46.8018055,4.84125,776.0,1014.44935172,NA,073850-99999-2010,51.7430882353,5.0170152638
NA,10.5191489362,0.035173,20.3775,15.32,0.387022900763,Perpignan,FR08714,309962.0,834.145408765,371.59228684,NA,NA,NA,NA,NA,NA,42.699886,2.88100833333,NA,NA,NA,NA,NA,NA
NA,9.76542553191,0.0269055,NA,NA,0.457251908397,Vannes,FR19031,150860.0,590.059752282,255.66902236,NA,NA,NA,NA,NA,NA,47.6528,-2.761043,887.2,1014.66582859,NA,072050-99999-2010,50.920397463,8.04647020042
0.673362445415,8.89583333333,0.013291,33.27825,19.133,0.534160305344,Fort-de-France (Martinique),FR39011,126873.0,2585.16006965,49.07742522,NA,NA,NA,NA,NA,NA,14.6096631429,-61.063533,NA,NA,NA,NA,NA,NA
NA,13.6324468085,0.0243705,22.033,NA,NA,Bourg-en-Bresse,FR33305,122806.0,368.174800883,333.5535178,NA,NA,NA,NA,NA,NA,46.211942,5.225568,1128.1,1014.54002242,NA,074820-99999-2010,51.15875,5.62940803103
0.178165938865,15.0072695035,0.0256673333333,23.4905,17.969,0.809160305344,Tours,FR34028,483744.0,720.164463976,671.71323246,0.32,0.61,0.08,295083.84,38699.52,154798.08,47.4035966,0.689801,578.9,1014.56087602,NA,072400-99999-2010,51.6760887055,6.71103880128
0.297816593886,16.5277925532,0.0244735,23.2005,19.756,0.231297709924,Rennes,FR19006,690467.0,705.043809672,979.324959,NA,NA,NA,NA,NA,NA,48.0976504444,-1.679808,584.4,1014.93089678,NA,071300-99999-2010,51.4995041322,6.63610355118
NA,9.74361702128,0.025571,NA,NA,NA,Chartres,FR34041,145735.0,202.419730922,719.9643994,NA,NA,NA,NA,NA,NA,48.449618,1.4983905,578.6,1014.38591369,NA,071430-99999-2010,50.1542857143,5.57576592177
0.297816593886,11.5421542553,0.02212975,25.2178,17.757,2.03027989822,Dunkerque,FR0113A,257773.0,883.294452939,291.83133568,0.27,0.66,0.07,170130.18,18044.11,69598.71,51.0160759091,2.29021881818,690.0,1015.2487617,NA,070030-99999-2010,50.0671126548,7.26142635901
NA,14.8699468085,0.02270175,28.6015,21.216,NA,Annecy,FR33201,221111.0,771.997002222,286.41432462,NA,NA,NA,NA,NA,NA,45.906111,6.1269445,NA,NA,NA,NA,NA,NA
0.268122270742,13.6002659574,0.0234785,23.4765,NA,0.0416030534351,Bayonne,FR31017,288359.0,975.263046241,295.67305058,0.29,0.63,0.08,181666.17,23068.72,83624.11,43.4869445,-1.507917,1400.8,1015.31385696,NA,076020-99999-2010,55.4341129032,6.26142674776
NA,10.4179078014,0.023857,21.7775,17.433,NA,Poitiers,FR09009,255831.0,395.567633598,646.74401612,NA,NA,NA,NA,NA,NA,46.5972406,0.3487366,657.2,1014.88425197,NA,073350-99999-2010,50.3684539442,6.69258908604
NA,10.8994680851,0.025691,25.003,NA,NA,Laval,FR23229,121399.0,316.425066386,383.65797434,NA,NA,NA,NA,NA,NA,48.070975,-0.770464,655.3,1014.60910669,NA,071340-99999-2010,50.8585198679,6.42480953951
NA,12.4219858156,0.02106575,25.8723333333,18.054,0.13358778626,Creil,FR18019,117654.0,1976.92089178,59.51376228,NA,NA,NA,NA,NA,NA,49.2779526667,2.491336,564.4,1014.16957774,NA,070570-99999-2010,49.1086885873,6.11977915228
NA,5.73829787234,0.024567,28.234,NA,0.95572519084,Beauvais,FR38003,125095.0,430.861198854,290.33712094,NA,NA,NA,NA,NA,NA,49.437411,2.089368,532.9,1014.35106356,NA,070550-99999-2010,48.014257612,6.92089281946
0.278602620087,14.2336879433,0.0269205,25.6465,14.678,0.169083969466,Brest,FR19012,314844.0,842.590827926,373.66179356,0.26,0.66,0.08,207797.04,25187.52,81859.44,48.398362,-4.47638633333,1305.0,1014.28788702,NA,071100-99999-2010,51.7914613912,8.90497412335
0.259388646288,12.1486702128,0.020742625,21.03425,18.983,1.36055979644,Metz,FR01009,389700.0,552.799976475,704.95661466,NA,NA,NA,NA,NA,NA,49.1455965,6.1741485,NA,NA,NA,NA,NA,NA
0.339301310044,11.2316489362,0.02340375,24.4786,22.355,0.814694656489,Thionville,FR01006,135627.0,941.799725672,144.00832396,NA,NA,NA,NA,NA,NA,49.345060375,6.162166375,674.3,1014.48335847,NA,070900-99999-2010,48.993562465,5.01746825217
NA,4.0,0.01533925,27.579,NA,1.80687022901,Pointe-a-Pitre - Les Abymes (Guadeloupe),FR37002,315917.0,733.817877557,430.51145204,0.23,0.67,0.1,211664.39,31591.7,72660.91,16.247407,-61.5641845,NA,NA,NA,NA,NA,NA
NA,15.7441489362,NA,33.8225,21.991,NA,Montbeliard,FR13004,162326.0,532.524265834,304.82366798,NA,NA,NA,NA,NA,NA,47.5066855,6.82430075,891.6,1014.73428779,NA,072920-99999-2010,47.2659780546,4.44510613351
NA,14.4732712766,0.020867375,27.3503333333,NA,NA,Belfort,FR13008,114077.0,673.362949507,169.41383556,NA,NA,NA,NA,NA,NA,46.697512,6.3675658,1243.0,1014.43915789,NA,072880-99999-2010,49.8152157895,3.15985883963
0.35807860262,13.6348784195,0.02912525,21.89225,15.361,0.651908396947,Clermont-Ferrand,FR07034,469922.0,502.980829732,934.27417552,0.28,0.65,0.07,305449.3,32894.54,131578.16,45.7815405556,3.09160788889,774.3,1014.42579754,NA,074600-99999-2010,49.5194510908,5.09356765091
NA,12.2239361702,0.0241115,26.8235,15.47,NA,Geneve - Annemasse,FR33212,NA,NA,NA,0.29,0.66,0.05,NA,NA,NA,46.2151193333,6.189305,248.8,1013.3204662,NA,074900-99999-2010,55.2104479476,3.72534900406
0.195633187773,11.5638297872,0.022583,25.15,NA,0.367938931298,Maubeuge,FR06007,129931.0,986.254457217,131.74186342,0.25,0.7,0.05,90951.7,6496.55,32482.75,50.278336,3.973611,595.8,1014.2255159,NA,070170-99999-2010,49.1423897743,8.20902359606
0.293449781659,14.0373670213,0.02054,25.8824,19.5585,0.756679389313,Valenciennes,FR06001,367094.0,1478.76115683,248.2442809,NA,NA,NA,NA,NA,NA,50.3670466,3.463948,NA,NA,NA,NA,NA,NA
NA,10.389893617,0.02466175,26.587,20.084,NA,Saint-Quentin,FR18008,111474.0,445.618850386,250.1554858,0.33,0.52,0.15,57966.48,16721.1,36786.42,46.7315765,2.7654235,NA,NA,NA,072554-99999-2010,51.1115396295,6.76722250579
0.459825327511,17.7021276596,0.0238548333333,26.66525,18.525,0.134351145038,Nantes,FR23199,897713.0,1037.54555083,865.22755486,0.32,0.52,0.16,466810.76,143634.08,287268.16,47.2142294,-1.5746832,766.5,1014.61161103,NA,072220-99999-2010,52.1523306349,6.28679706732
NA,13.9893617021,0.0280201666667,21.737,14.199,NA,Besancon,FR16302,246841.0,391.958406492,629.76325016,0.29,0.6,0.11,148104.6,27152.51,71583.89,47.54904425,6.34058825,NA,NA,NA,NA,NA,NA
0.467248908297,24.8431334623,0.0234555,29.7008571429,NA,0.804707379135,Paris,FR04122,12341418.0,1861.08446896,6631.3046,0.35,0.46,0.19,5677052.28,2344869.42,4319496.3,48.6791325263,2.40889647368,687.3,1014.63701619,NA,071490-99999-2010,51.3615572998,6.86866608844
NA,8.10319148936,0.0277235,23.142,NA,0.289312977099,Saint-Brieuc,FR19061,171721.0,1149.56584797,149.37900278,NA,NA,NA,NA,NA,NA,48.516669,-2.75,710.8,1014.60371202,NA,071200-99999-2010,50.315288346,7.78468856629
NA,2.79734042553,NA,22.212,NA,1.0427480916,Saint-Denis (La Reunion),FR38009,199222.0,1744.12798537,114.22441568,NA,NA,NA,NA,NA,NA,-20.910586,55.618978,1043.6,1012.26837722,NA,077800-99999-2010,58.4220277725,7.4383551997
0.601746724891,19.9765957447,0.021277625,29.99025,6.93,0.692938931298,Ales,FR38002,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,47.335086,2.952378,725.3,1014.54118386,NA,072600-99999-2010,49.7224107851,4.88659634667
0.418777292576,17.3407640232,0.0308873928571,32.8532857143,19.648,2.21304071247,Marseille - Aix-en-Provence,FR02011,1727070.0,1424.86489148,1212.09386962,0.35,0.54,0.11,932617.8,189977.7,604474.5,43.4075720263,5.20240986842,611.0,1012.86285074,NA,076500-99999-2010,58.2162749269,9.72791243028
